Rank,Name_fixed,gender,past_3_years_bike_related_purchases,Age,job_industry_category,wealth_segment,deceased_iNdicator_fixed,owns_car,tenure,address No.,Address_fixed,country,property_valuation,Value
708,Wilbert O'Loughnan,Male,14,40,Financial Services,Mass Customer,NO,Yes,6,22580,Doe Crossing Drive ,Australia,9,0.68
226,Hatti Carletti,U,35,,IT,Affluent Customer,NO,Yes,11,6,Iowa Center  ,Australia,9,1.11
230,Abigale Sives,Female,48,60,Health,Affluent Customer,NO,Yes,14,2,Glendale Center  ,Australia,4,1.11
25,Brena Schnitter,Female,78,41,Manufacturing,Mass Customer,NO,No,4,67,Shelley Street  ,Australia,5,1.48
326,Aldridge Poskitt,Male,84,41,n/a,Mass Customer,NO,No,12,7,Fordem Point  ,Australia,5,1.01
386,Kipp Stockport,Male,36,41,Retail,Mass Customer,NO,Yes,6,2,Roth Drive  ,Australia,11,0.95
642,Demott Mullaly,Male,42,41,Property,Mass Customer,NO,No,13,28,Hazelcrest Drive  ,Australia,8,0.73
845,Guilbert Bearns,Male,42,41,Financial Services,Mass Customer,NO,Yes,5,47776,Packers Street  ,Australia,8,0.56
233,Rolland Esmead,Male,41,83,Health,Affluent Customer,NO,No,8,72008,7th Avenue  ,Australia,8,1.10
237,Latrena Walklate,Female,97,80,Telecommunications,High Net Worth,NO,Yes,13,87,Sheridan Junction  ,Australia,8,1.09
32,Mikel McNess,Male,71,42,n/a,Mass Customer,NO,No,9,3,Pleasure Drive  ,Australia,9,1.45
54,Odessa Mc Andrew,Female,97,42,Property,Mass Customer,NO,No,8,31756,Meadow Valley Lane ,Australia,10,1.38
54,Martelle Tuppeny,Female,52,42,Manufacturing,Mass Customer,NO,No,9,261,Grayhawk Way  ,Australia,10,1.38
241,Farra Matyushkin,Female,18,49,Manufacturing,High Net Worth,NO,Yes,9,52761,Portage Crossing  ,Australia,9,1.09
241,Roman Eastwood,Male,57,54,Manufacturing,Affluent Customer,NO,Yes,16,8957,Anhalt Alley  ,Australia,4,1.09
78,Esther Rooson,Female,14,42,Financial Services,Mass Customer,NO,No,5,5186,Main Trail  ,Australia,9,1.34
244,Katharine Redbourn,Female,8,56,Manufacturing,Affluent Customer,NO,Yes,4,178,Waxwing Trail  ,Australia,10,1.08
244,Cammy Stoneham,Female,74,60,Financial Services,High Net Worth,NO,No,14,8648,Green Alley  ,Australia,3,1.08
144,Glenn Casbourne,Female,4,42,Manufacturing,Mass Customer,NO,No,6,2,Morrow Alley  ,Australia,1,1.23
219,Giorgi O'Shirine,Male,68,42,Retail,Mass Customer,NO,Yes,15,6,Novick Alley  ,Australia,8,1.13
248,Ellsworth Andrieux,Male,49,52,Financial Services,Affluent Customer,NO,Yes,10,8912,Carberry Place  ,Australia,7,1.08
249,Federico Leuty,Male,59,45,Property,High Net Worth,NO,Yes,11,720,Menomonie Crossing  ,Australia,4,1.08
304,Loleta Aberdalgy,Female,45,42,Health,Mass Customer,NO,No,11,99,Westend Court  ,Australia,6,1.03
250,Ferdy Hornung,Male,57,49,Entertainment,High Net Worth,NO,No,18,686,Hallows Trail  ,Australia,3,1.08
252,Lea Ilyinski,Female,75,26,Financial Services,High Net Worth,NO,No,12,895,Glendale Park  ,Australia,12,1.07
322,Honey Gosdin,Female,0,42,Property,Mass Customer,NO,No,17,66,Warner Trail  ,Australia,9,1.01
252,Shadow Yakutin,Male,85,56,Health,Affluent Customer,NO,Yes,6,6,Dwight Park  ,Australia,2,1.07
530,Amabel ,Female,71,42,Financial Services,Mass Customer,NO,Yes,9,3128,Mallory Pass  ,Australia,6,0.83
648,Aldin Newsome,Male,24,42,Financial Services,Mass Customer,NO,No,17,58,Morningstar Center  ,Australia,9,0.73
682,Sibby Skinner,Female,25,42,Manufacturing,Mass Customer,NO,Yes,12,3,Sunbrook Alley  ,Australia,7,0.70
733,Shepperd Leonards,Male,17,42,Manufacturing,Mass Customer,NO,Yes,5,38,Nobel Lane  ,Australia,9,0.66
780,Therese Brotherhood,Female,30,42,Health,Mass Customer,NO,No,10,25044,Bay Avenue  ,Australia,10,0.62
259,Barnebas Apfel,Male,57,27,Manufacturing,Affluent Customer,NO,Yes,2,5475,Elgar Place  ,Australia,6,1.06
921,Francklin Cross,Male,51,42,Property,Mass Customer,NO,Yes,3,24593,Jackson Parkway  ,Australia,10,0.49
259,Shannen Lewin,Female,21,32,Argiculture,High Net Worth,NO,No,6,29,Aberg Crossing  ,Australia,6,1.06
133,Norina Blakeway,Female,60,43,Property,Mass Customer,NO,Yes,3,75813,Lawn Lane  ,Australia,8,1.24
259,Lark Gonet,Female,89,51,Health,High Net Worth,NO,No,8,261,Orin Center  ,Australia,8,1.06
259,Kaela Romaines,Female,41,52,Manufacturing,High Net Worth,NO,No,19,9193,Prairieview Drive  ,Australia,10,1.06
219,Dorian Stollen,Male,78,43,Financial Services,Mass Customer,NO,Yes,18,72922,Cambridge Terrace  ,Australia,11,1.13
252,Celeste Fretson,Female,91,43,IT,Mass Customer,NO,No,9,14709,Portage Avenue  ,Australia,9,1.07
259,Raff Waycott,Male,70,72,Manufacturing,Affluent Customer,NO,Yes,14,94694,Eagle Crest Terrace ,Australia,7,1.06
295,Kermit Lebond,Male,36,43,Financial Services,Mass Customer,NO,No,4,71,Ludington Center  ,Australia,8,1.03
405,Dodi Kiggel,Female,5,43,Financial Services,Mass Customer,NO,Yes,13,5,Everett Trail  ,Australia,11,0.93
271,Cletis Longley,Male,84,27,Manufacturing,High Net Worth,NO,Yes,1,667,Waxwing Plaza  ,Australia,7,1.06
684,Maurizia Ritmeyer,Female,95,43,Entertainment,Mass Customer,NO,Yes,3,0,Express Lane  ,Australia,6,0.70
747,Agnola Batterson,Female,86,43,Financial Services,Mass Customer,NO,No,7,216,Bultman Park  ,Australia,3,0.65
274,Dahlia Shovlar,Female,90,57,n/a,Affluent Customer,NO,Yes,7,655,Glendale Trail  ,Australia,3,1.05
801,Darlleen Shalcras,Female,77,43,Health,Mass Customer,NO,No,11,383,Graceland Avenue  ,Australia,10,0.60
274,Timi Duny,Female,70,70,Telecommunications,High Net Worth,NO,No,6,39192,Glendale Alley  ,Australia,12,1.05
274,Egon Ortells,Male,35,47,Manufacturing,Affluent Customer,NO,No,13,3,Sundown Hill  ,Australia,9,1.05
963,Moll Ogilby,Female,25,43,Manufacturing,Mass Customer,NO,Yes,13,6,Hansons Crossing  ,Australia,6,0.44
278,Becka Hacon,Female,81,58,Financial Services,Affluent Customer,NO,No,17,1,Namekagon Point  ,Australia,9,1.05
278,Dominick Asher,Male,50,61,Health,Affluent Customer,NO,Yes,5,7307,Lake View Crossing ,Australia,9,1.05
38,Mitchell MacCague,Male,58,44,Manufacturing,Mass Customer,NO,No,15,240,Acker Avenue  ,Australia,8,1.44
57,Briant Ladley,Male,75,44,Argiculture,Mass Customer,NO,No,12,2,Schlimgen Terrace  ,Australia,8,1.38
133,Daryl Pauncefort,Female,12,44,Financial Services,Mass Customer,NO,Yes,12,0,Dexter Parkway  ,Australia,3,1.24
163,Emilie Brody,Female,3,44,n/a,Mass Customer,NO,Yes,3,5388,Burrows Alley  ,Australia,11,1.18
219,Kort Disley,Male,66,44,Health,Mass Customer,NO,Yes,7,76,Donald Trail  ,Australia,9,1.13
285,Bink Bentje,Male,3,66,Financial Services,High Net Worth,NO,Yes,19,8427,Moulton Place  ,Australia,3,1.04
287,Debbi Dannatt,Female,2,65,n/a,Affluent Customer,NO,No,6,3,Pepper Wood Hill ,Australia,10,1.04
287,Taber Szymon,Male,70,76,Argiculture,Affluent Customer,NO,No,13,984,Del Sol Junction ,Australia,8,1.04
289,Morton Petkens,Male,50,33,Manufacturing,High Net Worth,NO,Yes,10,385,Montana Place  ,Australia,1,1.04
289,Giana Staresmeare,Female,96,47,Retail,Affluent Customer,NO,Yes,9,8737,Scoville Center  ,Australia,7,1.04
291,Vittoria Whitney,Female,95,42,n/a,High Net Worth,NO,No,12,3,Surrey Court  ,Australia,11,1.04
291,Paquito Atwood,Male,15,51,Manufacturing,Affluent Customer,NO,No,9,2,Magdeline Street  ,Australia,8,1.04
361,Muffin Grigolon,Male,7,44,Telecommunications,Mass Customer,NO,No,12,4597,Marcy Point  ,Australia,10,0.98
291,Dimitri Tribbeck,Male,89,65,n/a,Affluent Customer,NO,No,20,93235,Hoard Trail  ,Australia,6,1.04
475,Laurie ,Male,31,44,Entertainment,Mass Customer,NO,Yes,15,94,Barby Lane  ,Australia,10,0.88
478,Fitzgerald Hellikes,Male,25,44,Health,Mass Customer,NO,Yes,10,315,Center Park  ,Australia,7,0.88
591,Wyndham Woolford,Male,1,44,Manufacturing,Mass Customer,NO,No,10,9107,Pine View Plaza ,Australia,6,0.78
606,Ajay Worham,Female,80,44,Manufacturing,Mass Customer,NO,Yes,12,5,Homewood Road  ,Australia,6,0.77
297,Rupert Marrow,Male,73,53,Property,High Net Worth,NO,No,19,2,7th Way  ,Australia,8,1.03
89,Nobe McAughtry,Male,25,45,n/a,Mass Customer,NO,No,12,1,Orin Hill  ,Australia,5,1.31
89,Patricia Everix,Female,34,45,Health,Mass Customer,NO,No,19,91164,Washington Terrace  ,Australia,7,1.31
158,Tedra Goodbanne,Female,4,45,n/a,Mass Customer,NO,Yes,6,8,Debs Road  ,Australia,9,1.19
302,Emelen Bidnall,Male,79,42,Health,Affluent Customer,NO,Yes,11,11,Oak Terrace  ,Australia,12,1.03
231,Gothart Artus,Male,52,45,Health,Mass Customer,NO,Yes,14,21824,Northridge Alley  ,Australia,10,1.11
282,Sherrie Godleman,Female,37,45,Manufacturing,Mass Customer,NO,No,19,67,Shelley Crossing  ,Australia,2,1.05
304,Alfi Sabbins,Female,63,64,Financial Services,High Net Worth,NO,Yes,18,763,Ridgeway Place  ,Australia,3,1.03
304,Manya Abramovici,Female,42,68,Financial Services,High Net Worth,NO,Yes,13,8,Randy Park  ,Australia,8,1.03
304,Art Carolan,Male,1,69,n/a,Affluent Customer,NO,Yes,11,57903,Hanson Parkway  ,Australia,9,1.03
304,Linette Boman,Female,56,74,n/a,Affluent Customer,NO,No,11,7,Michigan Hill  ,Australia,11,1.03
310,Natividad Balducci,Female,39,32,Property,High Net Worth,NO,Yes,10,4472,Washington Junction  ,Australia,11,1.02
371,Giulia Hazart,Female,57,45,n/a,Mass Customer,NO,No,11,81,Donald Parkway  ,Australia,11,0.97
312,Julietta Setchfield,Female,73,31,n/a,High Net Worth,NO,Yes,3,4,Manufacturers Crossing  ,Australia,8,1.02
312,Seamus Cains,Male,61,34,Manufacturing,High Net Worth,NO,No,7,4882,Dakota Center  ,Australia,8,1.02
536,Jethro Mertel,Male,16,45,Argiculture,Mass Customer,NO,Yes,15,3460,Dapin Street  ,Australia,6,0.83
312,Roch Symson,Female,96,45,Manufacturing,High Net Worth,NO,No,18,16,Westport Park  ,Australia,9,1.02
595,Lanie Cobbold,Male,57,45,n/a,Mass Customer,NO,Yes,9,936,Porter Lane  ,Australia,5,0.78
684,Selle Casper,Female,98,45,Health,Mass Customer,NO,Yes,10,34,Jay Hill  ,Australia,1,0.70
691,Rockie MacKibbon,Male,42,45,n/a,Mass Customer,NO,Yes,13,8,Bunker Hill Court ,Australia,8,0.69
312,Clari Voas,Female,74,68,Health,Affluent Customer,NO,Yes,14,4110,Mifflin Center  ,Australia,8,1.02
320,Zach Hedman,Male,87,42,Financial Services,Affluent Customer,NO,Yes,4,62,Spaight Center  ,Australia,9,1.02
320,Paxon Roomes,Male,78,47,n/a,High Net Worth,NO,Yes,7,3,Express Lane  ,Australia,7,1.02
719,Brendis Pineaux,Male,12,45,Manufacturing,Mass Customer,NO,No,5,43030,Carberry Way  ,Australia,4,0.68
322,Parnell Lamprey,Male,23,46,Financial Services,High Net Worth,NO,No,12,7353,Mallard Junction  ,Australia,6,1.01
324,Sonny McCart,Male,35,31,Manufacturing,High Net Worth,NO,No,9,52752,Barby Hill  ,Australia,9,1.01
324,Rozamond Turtle,U,69,,IT,Mass Customer,NO,Yes,3,57025,New Castle Street ,Australia,3,1.01
46,Gale Disbrow,Female,59,46,Financial Services,Mass Customer,NO,Yes,17,169,Bashford Drive  ,Australia,7,1.41
326,Deirdre Burgoine,Female,14,68,Health,High Net Worth,NO,No,7,0,Stoughton Park  ,Australia,1,1.01
89,Andromache Bonafacino,Female,84,46,Retail,Mass Customer,NO,No,11,74,Carpenter Street  ,Australia,9,1.31
329,Alon ,Male,17,24,n/a,Affluent Customer,NO,No,9,770,Crest Line Parkway ,Australia,3,1.00
223,Wallace Newart,Male,91,46,IT,Mass Customer,NO,No,17,29007,Dapin Street  ,Australia,1,1.12
464,Carita Sand,Female,25,46,Retail,Mass Customer,NO,No,16,846,Loftsgordon Crossing  ,Australia,11,0.89
329,Ahmed Pickthorne,Male,46,64,n/a,High Net Worth,NO,Yes,15,50,American Street  ,Australia,9,1.00
329,Zechariah McReidy,Male,32,45,Manufacturing,High Net Worth,NO,No,21,797,Westend Street  ,Australia,6,1.00
546,Katy Crooke,Female,0,46,Health,Mass Customer,NO,No,13,67081,Burrows Center  ,Australia,12,0.82
334,Erhard O'Moylane,Male,33,45,Retail,Affluent Customer,NO,Yes,9,1124,Dottie Lane  ,Australia,2,1.00
820,Manny Mandy,Male,36,46,Argiculture,Mass Customer,NO,No,16,6,Union Center  ,Australia,7,0.58
951,Candy ,Female,23,46,Financial Services,Mass Customer,NO,No,6,59252,Maryland Drive  ,Australia,3,0.45
338,Lincoln Boler,Male,53,47,n/a,Affluent Customer,NO,No,14,5,Summer Ridge Court ,Australia,8,1.00
338,Kylynn Drowsfield,Female,80,48,n/a,High Net Worth,NO,Yes,7,5,Trailsway Avenue  ,Australia,9,1.00
979,Artemis Swanson,Male,77,46,Argiculture,Mass Customer,NO,Yes,13,5,Melvin Park  ,Australia,5,0.42
341,Nicole Ruckhard,Female,93,54,Health,Affluent Customer,NO,Yes,17,23694,Leroy Place  ,Australia,3,0.99
6,Rutledge Hallt,Male,23,47,Financial Services,Mass Customer,NO,No,8,7,Nevada Crossing  ,Australia,7,1.67
341,Tannie Petrakov,Male,84,72,IT,Affluent Customer,NO,No,10,691,Valley Edge Alley ,Australia,6,0.99
14,Melba Spellacy,Female,38,47,Health,Mass Customer,NO,No,4,591,Anzinger Circle  ,Australia,10,1.59
345,Diego Van den Broek,Male,17,59,Manufacturing,Affluent Customer,NO,Yes,13,8,Schlimgen Drive  ,Australia,7,0.99
345,Eddy Sturch,Male,22,62,Financial Services,High Net Worth,NO,Yes,17,1,Kinsman Crossing  ,Australia,6,0.99
17,Winnifred Beswetherick,Female,83,47,Financial Services,Mass Customer,NO,No,14,61,4th Street  ,Australia,10,1.55
157,Tessa Friese,Female,89,47,Financial Services,Mass Customer,NO,No,21,98158,Alpine Point  ,Australia,9,1.20
349,Sandor Stirland,Male,67,42,Manufacturing,High Net Worth,NO,No,12,48578,Farmco Park  ,Australia,10,0.99
166,Robert Corkill,Male,55,47,Health,Mass Customer,NO,No,4,5612,Toban Point  ,Australia,10,1.18
271,Theresa Cowper,Female,99,47,Manufacturing,Mass Customer,NO,No,3,88,Mifflin Pass  ,Australia,10,1.06
349,Hussein Tapenden,Male,19,70,Health,Affluent Customer,NO,Yes,12,197,Sachs Avenue  ,Australia,8,0.99
278,Raye Roo,Female,64,47,Financial Services,Mass Customer,NO,Yes,16,1199,Express Plaza  ,Australia,9,1.05
401,Bastien Ibbeson,Male,53,47,IT,Mass Customer,NO,No,12,43094,Kedzie Pass  ,Australia,5,0.94
355,Giulietta Garbott,Female,59,21,n/a,Affluent Customer,NO,Yes,14,48297,Stuart Circle  ,Australia,5,0.98
356,Kaylyn Jakaway,Female,45,43,Health,Affluent Customer,NO,No,10,67,Heath Circle  ,Australia,8,0.98
502,Clevey Aisthorpe,Male,27,47,n/a,Mass Customer,NO,Yes,8,0,Veith Way  ,Australia,9,0.86
358,Pace Clemonts,Male,99,33,Retail,High Net Worth,NO,No,10,335,Cambridge Hill  ,Australia,7,0.98
358,Otis ,Male,59,52,Manufacturing,Affluent Customer,NO,No,12,4,Oakridge Plaza  ,Australia,11,0.98
358,Tamas Swatman,U,65,,Entertainment,Affluent Customer,NO,No,5,78,Clarendon Drive  ,Australia,8,0.98
507,Katleen Arnoult,Female,6,47,Manufacturing,Mass Customer,NO,Yes,13,540,Farragut Avenue  ,Australia,9,0.85
651,Israel Brough,Male,29,47,n/a,Mass Customer,NO,Yes,8,43863,Victoria Lane  ,Australia,7,0.72
951,Liane Abelevitz,Female,26,47,n/a,Mass Customer,NO,No,3,85340,Hovde Way  ,Australia,7,0.45
120,Peria Rantoull,Female,3,48,Financial Services,Mass Customer,NO,No,4,8350,Moulton Terrace  ,Australia,4,1.26
361,Tracy Andrejevic,U,71,,IT,Mass Customer,NO,Yes,11,5675,Burning Wood Trail ,Australia,7,0.98
366,Augustus Bourley,Male,60,42,Health,Affluent Customer,NO,No,18,3,Hoepker Parkway  ,Australia,10,0.98
127,Ricki Dobrowski,Male,13,48,Manufacturing,Mass Customer,NO,Yes,9,8,Eggendart Pass  ,Australia,1,1.25
366,Gerik Woodroof,Male,18,64,Financial Services,High Net Worth,NO,Yes,9,41,Kropf Road  ,Australia,7,0.98
177,Keriann Newham,Female,71,48,Financial Services,Mass Customer,NO,No,5,193,Northland Street  ,Australia,9,1.16
370,Arty Fontelles,Male,50,29,IT,High Net Worth,NO,No,4,7872,South Junction  ,Australia,4,0.97
250,Sunny Christescu,Female,90,48,Financial Services,Mass Customer,NO,No,11,6668,Blue Bill Park Plaza,Australia,10,1.08
372,Ian Rabat,Male,54,48,Financial Services,Affluent Customer,NO,No,11,3,Loeprich Point  ,Australia,11,0.97
427,Jobie Runacres,Female,96,48,n/a,Mass Customer,NO,Yes,18,24960,Shopko Crossing  ,Australia,7,0.91
430,Marilin Frome,Female,58,48,IT,Mass Customer,NO,Yes,17,52,Bobwhite Court  ,Australia,9,0.91
375,Reginald Jermy,Male,7,63,n/a,High Net Worth,NO,Yes,20,540,Katie Street  ,Australia,8,0.96
375,Link Gorini,Male,60,49,IT,High Net Worth,NO,No,10,9495,Jenna Way  ,Australia,2,0.96
375,Agneta McAmish,U,66,,IT,Mass Customer,NO,No,15,5773,Acker Way  ,Australia,6,0.96
378,Harriet Brattan,Female,81,37,Financial Services,High Net Worth,NO,No,2,66,Ruskin Parkway  ,Australia,1,0.96
378,Sada Branton,Female,34,49,Manufacturing,Affluent Customer,NO,No,14,9736,Mitchell Pass  ,Australia,6,0.96
486,Alexina Mabley,Female,72,48,Manufacturing,Mass Customer,NO,Yes,10,9,Rieder Junction  ,Australia,9,0.88
504,Kissiah Foat,Female,30,48,n/a,Mass Customer,NO,Yes,19,1690,Forster Place  ,Australia,9,0.85
382,Almira Mangion,Female,4,27,Financial Services,Affluent Customer,NO,Yes,2,179,Anzinger Center  ,Australia,12,0.95
382,Palmer Heaven,Male,82,28,Financial Services,Affluent Customer,NO,Yes,9,5,Hoard Parkway  ,Australia,6,0.95
632,Leisha McConway,Female,3,48,Financial Services,Mass Customer,NO,Yes,13,95,Del Mar Court ,Australia,8,0.74
382,Alexa Dillet,Female,65,79,Entertainment,Affluent Customer,NO,No,17,84650,Novick Point  ,Australia,7,0.95
386,Giffie Offill,Male,51,30,Telecommunications,Affluent Customer,NO,No,5,89,Riverside Court  ,Australia,3,0.95
700,Roldan Raybould,Male,27,48,Financial Services,Mass Customer,NO,No,11,85,Badeau Pass  ,Australia,8,0.69
386,Isadora Ducker,Female,15,50,n/a,Affluent Customer,NO,Yes,8,2972,Holy Cross Crossing ,Australia,5,0.95
708,Miran Runchman,Female,47,48,Retail,Mass Customer,NO,No,17,6634,Old Gate Parkway ,Australia,3,0.68
386,Porter Buckenhill,Male,46,69,Manufacturing,High Net Worth,NO,Yes,9,376,Talmadge Street  ,Australia,7,0.95
748,Mikol Eck,Male,99,48,Financial Services,Mass Customer,NO,Yes,21,15621,Twin Pines Crossing ,Australia,9,0.65
904,Aleece Feige,Female,49,48,Manufacturing,Mass Customer,NO,No,18,2030,Anderson Lane  ,Australia,10,0.50
386,Tamar Windmill,Female,92,84,Manufacturing,Affluent Customer,NO,No,10,4669,Troy Place  ,Australia,10,0.95
386,Carolann Raatz,Female,25,44,n/a,High Net Worth,NO,No,21,817,Bunker Hill Place ,Australia,6,0.95
930,Martino Scoles,Male,18,48,Financial Services,Mass Customer,NO,No,14,47,Scofield Junction  ,Australia,4,0.48
960,Sonia Dunstall,Female,0,48,Financial Services,Mass Customer,NO,No,10,99,Park Meadow Hill ,Australia,9,0.44
396,Aloysius Glowacz,Male,72,44,Financial Services,Affluent Customer,NO,No,18,7,Susan Lane  ,Australia,10,0.94
963,Jammie Seldner,Female,42,48,Health,Mass Customer,NO,Yes,15,8,Saint Paul Junction ,Australia,10,0.44
396,Nora Anselm,Female,84,62,Entertainment,High Net Worth,NO,Yes,15,2,Emmet Parkway  ,Australia,5,0.94
181,Dorian Rustman,Male,78,49,Manufacturing,Mass Customer,NO,No,18,6156,Summit Center  ,Australia,7,1.16
181,Harlin Mazin,Male,34,49,Manufacturing,Mass Customer,NO,Yes,13,735,Westridge Road  ,Australia,7,1.16
304,Brynna Tivers,Female,81,49,Financial Services,Mass Customer,NO,No,6,0,Mayfield Parkway  ,Australia,7,1.03
372,Rowan Summerly,Male,4,49,Entertainment,Mass Customer,NO,No,9,58231,Tomscot Plaza  ,Australia,10,0.97
401,Dwayne Doel,Male,80,45,Financial Services,Affluent Customer,NO,Yes,17,5642,Debs Terrace  ,Australia,11,0.94
430,Kipper Circuit,Male,23,49,Argiculture,Mass Customer,NO,Yes,4,3867,Barby Hill  ,Australia,8,0.91
405,Leese Huckleby,Female,67,46,Manufacturing,High Net Worth,NO,Yes,16,73,Riverside Trail  ,Australia,7,0.93
455,Deana Canton,Female,67,49,Property,Mass Customer,NO,Yes,14,92,Ludington Street  ,Australia,3,0.89
408,Corinna Beretta,Female,24,27,Health,High Net Worth,NO,No,12,72,Mccormick Circle  ,Australia,7,0.93
507,Fredia Favelle,Female,94,49,n/a,Mass Customer,NO,Yes,19,4,Arapahoe Terrace  ,Australia,8,0.85
409,Laurie Odlin,Female,75,40,Health,High Net Worth,NO,No,10,15669,Arizona Trail  ,Australia,10,0.93
409,Mair Erett,Female,15,66,n/a,Affluent Customer,NO,No,18,79,Armistice Parkway  ,Australia,7,0.93
668,Lillis Eshmade,Female,50,49,Financial Services,Mass Customer,NO,Yes,22,46057,Harbort Hill  ,Australia,2,0.71
741,Sinclair Wark,Male,68,49,Financial Services,Mass Customer,NO,Yes,11,44,Thompson Center  ,Australia,9,0.66
414,Justinn Haruard,Female,48,65,Health,High Net Worth,NO,No,11,0,Judy Terrace  ,Australia,12,0.92
755,Glenda Eliet,Female,87,49,n/a,Mass Customer,NO,No,12,1,Fordem Way  ,Australia,7,0.64
415,Dennis Varnham,Male,57,70,Entertainment,Affluent Customer,NO,No,17,6455,Mayfield Street  ,Australia,3,0.92
801,Rosene Beckey,Female,25,49,Health,Mass Customer,NO,Yes,14,2463,Portage Center  ,Australia,11,0.60
870,Randall Mason,Male,95,49,Health,Mass Customer,NO,Yes,12,83497,Memorial Plaza  ,Australia,11,0.54
419,Salomon Perkins,Male,76,25,Financial Services,Affluent Customer,NO,Yes,1,45,Banding Hill  ,Australia,10,0.92
420,Harwell Kleinstein,Male,87,30,Retail,Affluent Customer,NO,No,15,7,Huxley Trail  ,Australia,5,0.91
871,Babara Sissel,Female,50,49,IT,Mass Customer,NO,Yes,21,5,Ohio Road  ,Australia,10,0.54
939,Claudetta Ricciardiello,Female,61,49,Financial Services,Mass Customer,NO,Yes,21,31,Schurz Parkway  ,Australia,8,0.47
944,Harland Messenger,Male,90,49,Retail,Mass Customer,NO,No,8,27,Crownhardt Center  ,Australia,10,0.46
988,Bryan Jachtym,Male,59,49,Manufacturing,Mass Customer,NO,Yes,15,56,Moland Crossing  ,Australia,3,0.40
188,Brigitte Whellams,Female,67,50,n/a,Mass Customer,NO,Yes,17,77785,Veith Lane  ,Australia,8,1.16
259,Antonietta Egle,Female,82,50,Financial Services,Mass Customer,NO,No,7,590,Hagan Parkway  ,Australia,7,1.06
507,Inglebert Aspinal,Male,4,50,Financial Services,Mass Customer,NO,No,11,612,Annamark Center  ,Australia,8,0.85
427,Guenna Filisov,Female,52,54,Manufacturing,High Net Worth,NO,No,13,43,Stoughton Drive  ,Australia,9,0.91
429,Opal Cleare,Female,6,46,Property,Affluent Customer,NO,Yes,20,247,Blue Bill Park Parkway,Australia,9,0.91
575,Cordi Thornton,Female,47,50,Telecommunications,Mass Customer,NO,No,11,2978,Mccormick Center  ,Australia,10,0.80
603,Caitrin Critten,Female,45,50,Manufacturing,Mass Customer,NO,Yes,10,25,Lakeland Point  ,Australia,7,0.77
430,Ottilie Wanless,Female,51,83,n/a,Affluent Customer,NO,No,8,2,David Pass  ,Australia,4,0.91
433,Kit Easdon,Male,61,45,Property,Affluent Customer,NO,No,12,3,Roth Junction  ,Australia,8,0.91
617,Beverlee Ungerechts,Female,49,50,Manufacturing,Mass Customer,NO,No,8,602,Toban Center  ,Australia,7,0.75
433,Gregg Aimeric,U,52,,IT,Mass Customer,NO,No,7,72423,Surrey Street  ,Australia,5,0.91
436,Frederich Glantz,Male,37,26,Manufacturing,High Net Worth,NO,Yes,10,9,Glacier Hill Circle ,Australia,8,0.90
436,Rodolph Denniss,Male,28,49,Property,Affluent Customer,NO,Yes,7,91281,Transport Center  ,Australia,2,0.90
700,Suzy Bussens,Female,44,50,Financial Services,Mass Customer,NO,No,13,25,Oneill Alley  ,Australia,9,0.69
436,Skipp Swales,Male,15,50,Entertainment,High Net Worth,NO,Yes,22,76,Green Ridge Drive ,Australia,7,0.90
436,Johna Bunker,U,93,,IT,Mass Customer,NO,Yes,14,3686,Waubesa Way  ,Australia,6,0.90
441,Rodney Trethewey,Male,16,26,Financial Services,Affluent Customer,NO,No,15,737,Service Lane  ,Australia,8,0.90
755,Stephani Sidsaff,Female,32,50,Financial Services,Mass Customer,NO,Yes,6,0,Southridge Avenue  ,Australia,11,0.64
441,Giralda MacPeake,Female,59,82,Entertainment,High Net Worth,NO,Yes,14,6,Killdeer Way  ,Australia,1,0.90
444,Claudell Rounsefell,Male,67,30,Financial Services,Affluent Customer,NO,No,8,61416,Karstens Place  ,Australia,5,0.90
444,Matias Melloi,Male,61,46,Retail,Affluent Customer,NO,No,11,1507,Schlimgen Trail  ,Australia,10,0.90
791,Carl Troyes,Male,4,50,Property,Mass Customer,NO,No,7,1217,Melody Alley  ,Australia,10,0.61
444,Bunny Leebetter,Female,83,57,Manufacturing,High Net Worth,NO,Yes,8,4,Lukken Lane  ,Australia,4,0.90
820,Becky Lassen,Female,11,50,Financial Services,Mass Customer,NO,Yes,7,41153,Pond Park  ,Australia,8,0.58
444,Garwin Nurden,Male,54,65,Property,High Net Worth,NO,Yes,5,0,Union Parkway  ,Australia,11,0.90
450,Sada Dowyer,Female,47,25,n/a,High Net Worth,NO,Yes,3,4,Meadow Ridge Place ,Australia,10,0.90
845,Maris Leete,Female,21,50,Retail,Mass Customer,NO,No,7,6,Main Alley  ,Australia,4,0.56
450,Katie Warhurst,Female,0,32,Retail,High Net Worth,NO,Yes,14,96,Rutledge Drive  ,Australia,5,0.90
450,Stearne Trolley,Male,42,41,Financial Services,High Net Worth,NO,No,14,638,Caliangt Avenue  ,Australia,11,0.90
450,Celia Bryden,Female,12,80,Manufacturing,High Net Worth,NO,No,21,2905,Towne Place  ,Australia,9,0.90
882,Brigg Himsworth,Male,63,50,Telecommunications,Mass Customer,NO,Yes,9,771,Union Crossing  ,Australia,6,0.54
455,Heloise Fairpool,Female,17,47,Manufacturing,High Net Worth,NO,No,17,5,Loeprich Way  ,Australia,3,0.89
